name,dosage,duration,instructions,category,description
Arnica montana,30C,Single dose then 3x/day PRN,Take orally,Trauma/First aid,"Used topically or orally by homeopaths after bruising or blunt trauma; marketed for relief from soreness—use conventional care for significant injury."
Aconitum napellus,30C,Single dose then every 1-2 hours for 6 doses,Take orally,Acute febrile/Anxiety,"Often used in homeopathy for sudden onset fever or acute anxiety after shock; short-term dosing typical in acute presentations."
Belladonna,30C,Single dose then 3x/day PRN,Take orally,Acute febrile/Inflammation,"Commonly used in acute, high-fever states with flushing in homeopathic practice; avoid replacing urgent medical assessment."
Bryonia alba,30C,1-2 doses/day for 1-3 days,Take orally,Musculoskeletal/Pain,"Used by homeopaths for pain aggravated by movement and dry painful coughs; described as ‘worse on motion’ in homeopathic materia medica."
Chamomilla 30C,30C,1-3 doses/day until better,Take orally,Pediatric/Irritability,"Frequently recommended for irritable, inconsolable children and teething discomfort in homeopathic practice."
Nux vomica,30C,1 dose then 2x/day,Take orally,Digestive/Overindulgence,"Used for digestive upset related to overindulgence, nausea, or sensitivity to stimulants in homeopathic prescribing."
Pulsatilla nigricans,30C,1-2 doses/day until better,Take orally,Respiratory/Emotional,"Used for changing, mild respiratory complaints and emotional tearfulness; considered a ‘soft, changeable’ symptom profile in homeopathy."
Rhus toxicodendron,30C,1 dose then 2x/day,Take orally,Musculoskeletal/Arthralgia,"Often used for stiffness relieved by continued motion (homeopathic rubric), e.g., sprains or stiff joints."
Sepia officinalis,30C,1 dose daily for several days,Take orally,Female hormonal/Chronic,"Commonly used in chronic female complaints like menstrual disturbances and hormonal mood changes in homeopathic practice."
Ignatia amara,30C,1 dose then PRN for several days,Take orally,Mental/Grief,"Used for acute grief, emotional shock and mood swings according to homeopathic tradition."
Apis mellifica,30C,1-3 doses/day PRN,Take orally,Allergic/Swelling,"Selected in homeopathy for stinging-type swelling, hives and edema with heat and redness."
Ledum palustre,30C,1 dose then 3x/day PRN,Take orally,Bites/Puncture wounds,"Used in homeopathy for puncture wounds, insect bites and to prevent or treat local swelling."
Arsenicum album,30C,1 dose then every 2-4 hours for acute GI distress,Take orally,Gastrointestinal/Anxiety,"Used for acute gastroenteritis with restlessness in homeopathic practice; emphasizes chilliness and anxiety in symptom picture."
Calcarea carbonica,30C or 6X,1-2x daily,Long-term,Constitutional/Developmental,"A common constitutional remedy in homeopathy for sluggishness, growth and metabolic stereotypes—used in chronic prescribing frameworks."
Silicea (Silica),30C,1-2x/week,Long-term,Chronic/Support,"Used in homeopathy for chronic low-energy states, skin and nail complaints and to assist expulsion of foreign bodies."
Sulphur,30C,1-2x/week,Long-term,Constitutional/Skin,"Widely used constitutional remedy for chronic skin, burning sensations and general ‘warm-bloodedness’ in homeopathic practice."
Lycopodium clavatum,30C,1 dose then 2x/day,Long-term,Digestive/Anxiety,"Employed in chronic digestive complaints with bloating and in certain personality rubrics in homeopathy."
Graphites,30C,1-2x/week,Long-term,Skin/Chronic,"Selected for chronic skin conditions, fissures and thickened secretions by homeopaths."
Hepar sulphuris calcareum,30C,1-2x/day PRN,Short term,Suppurative/Throat,"Used where infections are thought to have pus formation or where sensitiveness to touch is described in homeopathic practice."
Mercurius solubilis,30C,1 dose then PRN,Short term,Mucosal/infection,"Used in homeopathy for mouth/throat infections with salivation and sensitive glands—closely monitored due to historical mercury source (homeopathic dilutions claimed inactive)."
Phosphorus,30C,1 dose then 2x/day,Short/Long-term,Respiratory/Bleeding tendency,"Used by homeopaths for bleeding tendencies, respiratory weakness and marked sensitivity to stimuli."
Natrum muriaticum,30C,1 dose then PRN,Long-term,Mental/Emotional,"Common constitutional remedy for grief, emotional withdrawal and salt-craving types in homeopathy."
Kali bichromicum,30C,1-2 doses/day PRN,Short-term,Respiratory/Thick secretions,"Used for thick, stringy respiratory secretions (sinusitis/bronchial complaints) in homeopathic teaching."
Kali muriaticum,30C,1-2 doses/day PRN,Short-term,Respiratory/Mucus,"Used for catarrhal conditions with bland mucus in homeopathic practice."
Staphysagria,30C,1 dose then PRN,Short-term,Psychic/Surgical trauma,"Used for suppressed emotions and after surgical/incision trauma according to homeopathic rubrics."
Thuja occidentalis,30C,1-2x/week,Long-term,Genital/Constitutional,"Often used in homeopathy for wart-like growths, post-vaccination complaints and certain chronic patterns."
Silicea 6X,6X,1-3x/week,Long-term,Chronic/Support,"Lower potency form used for chronic weakness, drainage and slow-healing wounds in homeopathic practice."
Ferrum phosphoricum,6X or 30C,1-3x/day short-term,Acute febrile/First-stage fever,"Used by homeopaths in early-stage fevers and inflammations; marketed as gentle support in early illness."
Carbo vegetabilis,30C,Single dose then PRN,Acute collapse/GI bloating,"Used in homeopathy for weakness, collapse tendencies and severe bloating with belching."
Hypericum perforatum,30C,1-3x/day short-term,Trauma/Nerve injury,"Used in homeopathy for sharp, shooting nerve pains, puncture wounds and injuries involving nerves."
Calendula officinalis,Tincture topical / 30C oral,Topical PRN / oral 1-2x/day,Topical/First aid,"Used topically for wound care and orally in homeopathic form for tissue repair—widely sold in OTC wound products."
Bellis perennis,30C,1-3x/day short-term,Trauma/Deep tissue bruise,"Selected for deep tissue bruising and muscle soreness in homeopathic materia medica."
Arnica topical ointment,External application,Apply TDS until better,Topical/First aid,"Topical arnica products marketed for bruising and soreness; note topical formulations are not the same as ultra-dilute homeopathic globules."
Ledum topical,External application,Apply BD PRN,Topical/Bites,"Topical Ledum preparations sold for puncture wounds and insect bites."
Mercurius solubilis 200C,200C,Single dose under practitioner advice,Homeopathic high potency,Selective use,"High-potency homeopathic remedies used by some practitioners for deep-acting constitutional work—often practitioner-guided and controversial."
Homeopathic Nosode (various),Potency varies,Practitioner guided,Follow practitioner advice,Homeopathic immuno-modulatory claim,"Prepared from disease material in homeopathy and used in some alternative schedules—controversial and not a substitute for vaccination."
Sulphuricum acidum,30C,1-2x/week,Long-term,Chronic mucosal complaints,"Used for chronic mucosal complaints and acidic conditions in homeopathic practice."
Anacardium orientale,30C,1-2x/day,Short/Long-term,Mental/Behavioral,"Used in homeopathy for mixed mental states, self-doubt and memory complaints in certain rubrics."
Natrum sulphuricum,30C,1 dose then PRN,Long-term,Post-viral/Headache,"Used by homeopaths for post-head injury/viral sequelae and certain headache types."
